variant,category,file,ground_truth_reps,detected_reps,count_error,accuracy_pct,frames_processed,frames_with_pose,detection_rate,form_excellent,form_good,form_fair,form_poor,notes,error
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_19.mp4,4,2,-2,50.0,315,315,100.0,2,0,0,0,One hand at a time - 2 rep right hand and 2 rep left hand. (First and last rep are half recorded so not counted for each hand),
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_2.MOV,4,4,0,100.0,381,381,100.0,4,0,0,0,90 degree angle - left side - moving camera,
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_2.MOV,4,4,0,100.0,381,381,100.0,4,0,0,0,90 degree angle - left side - moving camera,
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_3.MOV,4,5,1,75.0,491,491,100.0,3,1,1,0,"Side angle, starting has picking up dumbbells and ending has keeping it down, multiple people in background",
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_3.MOV,4,5,1,75.0,491,491,100.0,4,1,0,0,"Side angle, starting has picking up dumbbells and ending has keeping it down, multiple people in background",
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_4.MOV,4,4,0,100.0,439,438,99.8,4,0,0,0,"Front angle, multiple people in background",
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_4.MOV,4,4,0,100.0,439,438,99.8,4,0,0,0,"Front angle, multiple people in background",
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_5.MOV,5,5,0,100.0,430,427,99.3,5,0,0,0,Side angle,
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_5.MOV,5,5,0,100.0,430,427,99.3,5,0,0,0,Side angle,
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_6.MOV,4,4,0,100.0,366,366,100.0,4,0,0,0,Side angle,
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_6.MOV,4,4,0,100.0,366,366,100.0,4,0,0,0,Side angle,
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_7.MOV,4,4,0,100.0,480,480,100.0,4,0,0,0,"Front angle slowly moving to around 15 degrees, multiple people in background",
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_7.MOV,4,4,0,100.0,480,480,100.0,4,0,0,0,"Front angle slowly moving to around 15 degrees, multiple people in background",
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_8.mp4,2,2,0,100.0,249,245,98.4,1,1,0,0,Rotating zoomed in camera from front to side angle,
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_8.mp4,2,2,0,100.0,249,245,98.4,2,0,0,0,Rotating zoomed in camera from front to side angle,
original,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_9.mp4,1,2,1,0.0,141,140,99.3,2,0,0,0,Zoomed in side angle,
percentile,hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_9.mp4,1,2,1,0.0,141,140,99.3,2,0,0,0,Zoomed in side angle,
original,shoulder_press,arc1_my_test_video_1_shoulder_press_1.mp4,9,9,0,100.0,439,439,100.0,9,0,0,0,Front angle,
percentile,shoulder_press,arc1_my_test_video_1_shoulder_press_1.mp4,9,9,0,100.0,439,439,100.0,9,0,0,0,Front angle,
original,shoulder_press,arc2_shoulder_press_1.MOV,6,6,0,100.0,513,513,100.0,6,0,0,0,45 degree angle on a shoulder press machine with camera a bit above head.,
percentile,shoulder_press,arc2_shoulder_press_1.MOV,6,6,0,100.0,513,513,100.0,6,0,0,0,45 degree angle on a shoulder press machine with camera a bit above head.,
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_2.mp4,4,4,0,100.0,233,233,100.0,4,0,0,0,Side - back angle with a little zoomed in.,
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_2.mp4,4,4,0,100.0,233,233,100.0,4,0,0,0,Side - back angle with a little zoomed in.,
original,shoulder_press,arc1_my_test_video_1_shoulder_press_2.mp4,6,6,0,100.0,353,352,99.7,6,0,0,0,Front angle,
percentile,shoulder_press,arc1_my_test_video_1_shoulder_press_2.mp4,6,6,0,100.0,353,352,99.7,6,0,0,0,Front angle,
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_3.MOV,4,4,0,100.0,396,396,100.0,4,0,0,0,Front angle with shoulder press machine.,
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_3.MOV,4,4,0,100.0,396,396,100.0,4,0,0,0,Front angle with shoulder press machine.,
original,shoulder_press,arc1_my_test_video_1_shoulder_press_3.mp4,10,10,0,100.0,491,491,100.0,10,0,0,0,45 degree angle,
percentile,shoulder_press,arc1_my_test_video_1_shoulder_press_3.mp4,10,10,0,100.0,491,491,100.0,10,0,0,0,45 degree angle,
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_4.MOV,4,5,1,75.0,420,420,100.0,5,0,0,0,"Side to front rotating angle with last rep having zoomed in (elbow out of frame), shoulder press machine",
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_4.MOV,4,5,1,75.0,420,420,100.0,5,0,0,0,"Side to front rotating angle with last rep having zoomed in (elbow out of frame), shoulder press machine",
original,shoulder_press,arc1_my_test_video_1_shoulder_press_4.mp4,10,10,0,100.0,449,449,100.0,10,0,0,0,10 degree angle (front angle),
percentile,shoulder_press,arc1_my_test_video_1_shoulder_press_4.mp4,10,10,0,100.0,449,449,100.0,10,0,0,0,10 degree angle (front angle),
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_5.mp4,3,3,0,100.0,292,292,100.0,3,0,0,0,"45 degree angle on a shoulder press machine,Last rep is half recorded so not counted",
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_5.mp4,3,3,0,100.0,292,292,100.0,3,0,0,0,"45 degree angle on a shoulder press machine,Last rep is half recorded so not counted",
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_6.mp4,2,2,0,100.0,156,156,100.0,2,0,0,0,"Front angle, shoulder press machine",
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_6.mp4,2,2,0,100.0,156,156,100.0,2,0,0,0,"Front angle, shoulder press machine",
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_7.mp4,5,5,0,100.0,315,315,100.0,5,0,0,0,"Front angle, shoulder press machine",
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_7.mp4,5,5,0,100.0,315,315,100.0,5,0,0,0,"Front angle, shoulder press machine",
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_8.mp4,2,2,0,100.0,118,118,100.0,2,0,0,0,45 degree angle on a shoulder press machine,
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_8.mp4,2,2,0,100.0,118,118,100.0,2,0,0,0,45 degree angle on a shoulder press machine,
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_9.mp4,3,2,-1,66.7,270,270,100.0,2,0,0,0,"Front angle, shoulder press machine",
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_9.mp4,3,2,-1,66.7,270,270,100.0,2,0,0,0,"Front angle, shoulder press machine",
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_10.mp4,4,4,0,100.0,384,384,100.0,4,0,0,0,"Front angle, shoulder press machine",
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_10.mp4,4,4,0,100.0,384,384,100.0,4,0,0,0,"Front angle, shoulder press machine",
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_11.mp4,4,4,0,100.0,210,210,100.0,4,0,0,0,Front to side rotating camera on shoulder press machine,
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_11.mp4,4,4,0,100.0,210,210,100.0,4,0,0,0,Front to side rotating camera on shoulder press machine,
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_12.mp4,3,3,0,100.0,272,272,100.0,3,0,0,0,"Front angle, shoulder press machine",
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_12.mp4,3,3,0,100.0,272,272,100.0,3,0,0,0,"Front angle, shoulder press machine",
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_13.mp4,5,5,0,100.0,204,204,100.0,5,0,0,0,45 degree angle on a shoulder press machine,
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_13.mp4,5,5,0,100.0,204,204,100.0,5,0,0,0,45 degree angle on a shoulder press machine,
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_14.mp4,4,4,0,100.0,183,183,100.0,4,0,0,0,45 degree angle on a shoulder press machine,
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_14.mp4,4,4,0,100.0,183,183,100.0,4,0,0,0,45 degree angle on a shoulder press machine,
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_15.mp4,3,4,1,66.7,288,288,100.0,4,0,0,0,"45 degree angle on a shoulder press machine, 1st rep half recorded so not counted",
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_15.mp4,3,4,1,66.7,288,288,100.0,4,0,0,0,"45 degree angle on a shoulder press machine, 1st rep half recorded so not counted",
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_16.mp4,3,4,1,66.7,312,312,100.0,4,0,0,0,"45 degree angle on a shoulder press machine, 1st and last rep. half recorded so not counted",
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_16.mp4,3,4,1,66.7,312,312,100.0,4,0,0,0,"45 degree angle on a shoulder press machine, 1st and last rep. half recorded so not counted",
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_17.mp4,3,3,0,100.0,249,249,100.0,3,0,0,0,45 degree angle on a shoulder press machine,
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_17.mp4,3,3,0,100.0,249,249,100.0,3,0,0,0,45 degree angle on a shoulder press machine,
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_19.MOV,5,5,0,100.0,585,585,100.0,5,0,0,0,Front to 45 degree angle rotating camera on a shoulder press machine ,
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_19.MOV,5,5,0,100.0,585,585,100.0,5,0,0,0,Front to 45 degree angle rotating camera on a shoulder press machine ,
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_21.mov,5,7,2,60.0,603,594,98.5,6,1,0,0,"90 degree angle, Arnold press (not a proper shoulder press)",
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_21.mov,5,7,2,60.0,603,594,98.5,6,1,0,0,"90 degree angle, Arnold press (not a proper shoulder press)",
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_24.mp4,10,12,2,80.0,492,487,99.0,11,1,0,0,Starting and ending has picking up and keeping down the dumbbells,
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_24.mp4,10,12,2,80.0,492,487,99.0,11,1,0,0,Starting and ending has picking up and keeping down the dumbbells,
original,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_25.mp4,3,3,0,100.0,233,233,100.0,3,0,0,0,Front angle,
percentile,shoulder_press,arc1_final_kaggle_with_additional_video_shoulder_press_25.mp4,3,3,0,100.0,233,233,100.0,3,0,0,0,Front angle,
original,shoulder_press,arc1_similar_dataset_17496a37-c1f7-4105-9c07-e7cfbca06106.mp4,4,4,0,100.0,270,270,100.0,4,0,0,0,2 Cuts in video from front to zoomed in 45 degree angle on shoulder press machine,
percentile,shoulder_press,arc1_similar_dataset_17496a37-c1f7-4105-9c07-e7cfbca06106.mp4,4,4,0,100.0,270,270,100.0,4,0,0,0,2 Cuts in video from front to zoomed in 45 degree angle on shoulder press machine,
original,shoulder_press,arc1_similar_dataset_237de26b-2b1e-4f62-9844-b30fc9860c72.mp4,5,2,-3,40.0,300,300,100.0,1,1,0,0,"Front angle, shoulder press machine, last rep half recorded so not counted",
percentile,shoulder_press,arc1_similar_dataset_237de26b-2b1e-4f62-9844-b30fc9860c72.mp4,5,2,-3,40.0,300,300,100.0,1,1,0,0,"Front angle, shoulder press machine, last rep half recorded so not counted",
original,shoulder_press,arc1_similar_dataset_30fe126e-0985-48af-813f-65c30d49913d.mp4,3,4,1,66.7,288,288,100.0,4,0,0,0,"45 degree angle on a shoulder press machine, 1st rep half recorded so not counted",
percentile,shoulder_press,arc1_similar_dataset_30fe126e-0985-48af-813f-65c30d49913d.mp4,3,4,1,66.7,288,288,100.0,4,0,0,0,"45 degree angle on a shoulder press machine, 1st rep half recorded so not counted",
original,shoulder_press,arc1_similar_dataset_51f72e68-ec28-4272-b15c-45586c244398.mp4,3,4,1,66.7,312,312,100.0,4,0,0,0,"45 degree angle on a shoulder press machine, 1st and last rep. half recorded so not counted",
percentile,shoulder_press,arc1_similar_dataset_51f72e68-ec28-4272-b15c-45586c244398.mp4,3,4,1,66.7,312,312,100.0,4,0,0,0,"45 degree angle on a shoulder press machine, 1st and last rep. half recorded so not counted",
original,shoulder_press,arc1_similar_dataset_555859e7-8a16-4494-8dca-dff27cbdd9c8.mp4,4,0,-4,0.0,299,299,100.0,0,0,0,0,"Front angle, shoulder press machine, comparatively short reps. ",
percentile,shoulder_press,arc1_similar_dataset_555859e7-8a16-4494-8dca-dff27cbdd9c8.mp4,4,0,-4,0.0,299,299,100.0,0,0,0,0,"Front angle, shoulder press machine, comparatively short reps. ",
original,shoulder_press,arc1_similar_dataset_6397dc79-5ba3-4244-a426-c24d6e7cfeb0.mp4,1,2,1,0.0,300,300,100.0,2,0,0,0,Multiple cuts in video from front to zoomed in 45 degree angle on shoulder press machine,
percentile,shoulder_press,arc1_similar_dataset_6397dc79-5ba3-4244-a426-c24d6e7cfeb0.mp4,1,2,1,0.0,300,300,100.0,2,0,0,0,Multiple cuts in video from front to zoomed in 45 degree angle on shoulder press machine,
original,shoulder_press,arc1_similar_dataset_a34f39ab-161f-41fe-853d-3eeea21073bd.mp4,3,3,0,100.0,402,389,96.8,3,0,0,0,45 degree angle on a shoulder press machine,
percentile,shoulder_press,arc1_similar_dataset_a34f39ab-161f-41fe-853d-3eeea21073bd.mp4,3,3,0,100.0,402,389,96.8,3,0,0,0,45 degree angle on a shoulder press machine,
original,shoulder_press,arc1_similar_dataset_b066cbc1-931a-4af5-b668-36e98e7091b6.mp4,4,3,-1,75.0,302,301,99.7,3,0,0,0,Last rep camera fades out just near to finishing the rep. 45 degree angle on a shoulder press,
percentile,shoulder_press,arc1_similar_dataset_b066cbc1-931a-4af5-b668-36e98e7091b6.mp4,4,3,-1,75.0,302,301,99.7,3,0,0,0,Last rep camera fades out just near to finishing the rep. 45 degree angle on a shoulder press,
original,shoulder_press,arc1_similar_dataset_b8a72e6b-f7ad-406a-9aa5-a3df903ec40e.mp4,3,3,0,100.0,245,245,100.0,3,0,0,0,45 degree angle on a shoulder press machine,
percentile,shoulder_press,arc1_similar_dataset_b8a72e6b-f7ad-406a-9aa5-a3df903ec40e.mp4,3,3,0,100.0,245,245,100.0,3,0,0,0,45 degree angle on a shoulder press machine,
original,shoulder_press,arc1_similar_dataset_f44ec93a-ce42-46a4-97f4-015bea952a00.mp4,3,4,1,66.7,288,287,99.7,4,0,0,0,"45 degree angle on a shoulder press machine, 1st and last rep half recorded so not counted",
percentile,shoulder_press,arc1_similar_dataset_f44ec93a-ce42-46a4-97f4-015bea952a00.mp4,3,4,1,66.7,288,287,99.7,4,0,0,0,"45 degree angle on a shoulder press machine, 1st and last rep half recorded so not counted",
original,shoulder_press,arc1_similar_dataset_fc319e88-4be0-467e-9dfd-cb7b3512f3ed.mp4,4,4,0,100.0,216,214,99.1,4,0,0,0,Almost 80 degree angle on a shoulder press machine. ,
percentile,shoulder_press,arc1_similar_dataset_fc319e88-4be0-467e-9dfd-cb7b3512f3ed.mp4,4,4,0,100.0,216,214,99.1,4,0,0,0,Almost 80 degree angle on a shoulder press machine. ,
